JobTitle,Company,Location,Salary,PostDate,DateRetrieved,Summary,JobUrl
Data Scientist,Comet.ml,"New York, NY",,24 days ago,2020-11-21,"This role will provide support for the marketing and data science teams, using deep, technical knowledge of data science, machine learning, and AI to develop…",https://www.indeed.com/rc/clk?jk=8d42d5e43bb644b9&fccid=656e645f6fb74979&vjs=3
Associate Data Scientist,Prognos,"New York, NY",,19 days ago,2020-11-21,"At least one year of professional experience in a data engineering/data analysis /data science context.
Experience with healthcare data and/or insurance data a…",https://www.indeed.com/rc/clk?jk=fc66e59dfaf1a278&fccid=ff9351c2a6df2c4a&vjs=3
Statistical Research Analyst,Coefficient Partners,"Great Neck, NY",From $30 an hour,16 days ago,2020-11-21,"Previous working experience in business analytics, banking and data science is a plus.
Collects, analyzes, and reports data pertaining to program evaluation and…",https://www.indeed.com/company/Coefficient-Partners/jobs/Statistical-Research-Analyst-e3af4e56185d8693?fccid=3e983fedfa5dda7f&vjs=3
Sr Data Analyst with Customer Data Services,Primesoftinc,"New York, NY",,2 days ago,2020-11-21,Configure and build training data sets as inputs into entity resolution models to de-duplicate customer data and generate the unique identifiers.,https://www.indeed.com/company/Primesoftinc/jobs/Senior-Data-Analyst-Customer-Data-Service-6da01e4b42531d9b?fccid=0540b5b387d37378&vjs=3
"Data Scientist, Product Analytics",Noom US,"New York, NY",,30+ days ago,2020-11-21,You'll get three weeks' paid vacation and a flexible work policy that is remote- and family-friendly (about 50% of our engineering team is fully remote).,https://www.indeed.com/rc/clk?jk=4a8a2a11bbe45ff4&fccid=17f7c591b33e9dc5&vjs=3
Data Scientist,Goodway Group,"New York, NY",,30+ days ago,2020-11-21,"Showing feasibility through data analysis,.
You will be at the center of data analysis, modeling, machine learning, and data engineering and on the bleeding…",https://www.indeed.com/rc/clk?jk=acd7bbb45b770cdd&fccid=920e697cdf154a3c&vjs=3
Data Scientist Internship (REMOTE),Vee,New York State,,27 days ago,2020-11-21,"You will help build Vee's data capability and data strategy.
Solid background in data mining and statistical analysis.",https://www.indeed.com/rc/clk?jk=11c6c4ed8df3c959&fccid=4f11fda3f02f70cd&vjs=3
Senior Data Analyst,Dataminr,New York State,,23 days ago,2020-11-21,"To do this, you'll use a combination of 3rd party and homegrown BI tooling to transform raw data into meaningful insights informed by best practices in data…",https://www.indeed.com/rc/clk?jk=194b8143e97d56ef&fccid=181ae1a6390e21b5&vjs=3
Data Scientist,Naka Technologies,"New York, NY",,30+ days ago,2020-11-21,"A data scientist with 4-6+ years of experience in data science roles.
You’ll get three weeks’ paid vacation and a flexible work policy that is remote- and…",https://www.indeed.com/rc/clk?jk=f42d59bee31eede3&fccid=c85d08a88c59e378&vjs=3
Graph Data Science Product Manager (Remote),Neo4j,"New York, NY",,10 days ago,2020-11-21,Conduct market research into competing graph data science libraries and other data science platforms to understand differentiating features and potential…,https://www.indeed.com/rc/clk?jk=469e3ccb5719c7af&fccid=22802a3c9cf9578d&vjs=3
Senior Data Analyst,MMM Holdings,"White Plains, NY",,8 days ago,2020-11-21,"Preferred experience working with medical data.
Preferred to have at least worked with payer side data.
Organizing data for the generation of analytical and…",https://www.indeed.com/rc/clk?jk=7f6f2e7ebf41395e&fccid=589843b57617aca9&vjs=3
Customer Facing Data Scientist,Comet.ml,"New York, NY",,30+ days ago,2020-11-21,"A deep understanding of data scientists’ needs and pain points is a big plus.
You should be equally comfortable painting a vision of the technical possibilities…",https://www.indeed.com/rc/clk?jk=a52286b484e96a97&fccid=656e645f6fb74979&vjs=3
"Sr. Statistical Programmer ( Perm, REMOTE)",ConnectLifeSciences,United States,"$114,000 - $124,000 a year",3 days ago,2020-11-21,"Performing data manipulation, analysis and reporting of clinical trial data, both safety and efficacy, utilizing SAS programming;",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AvfLQonCzA-ugCkyus2Ox_8_rcnH4f2j6r-E9SVvfVKLmxKJyQXn_WCtjyyMXZGqgOGwf4Csxoou2_aWwep980vdEV8rZaI5yIkkxeTf2AyAZL61K85hi6ghbDjxrFOJpDhhKos0j6WvouDha_c8PlFBFdAV3pvQRS2cpjB-vG4bIMkOjRkJ0eiTUNLB8Rfr-KTAxz1P4cgfcaPDkfjxWwXFd4CsZYfa_Y-fv8xL007fpUokKYkUL56N6nRGo2-ZttIILJ_mCHaiTYLgBrIBIS3Jy6vb_l5S16ctqn77PkxmboS_4FbIkDg0TUWPc3IlBknG2p4uy-elm9vT3z6JgUy20AFv_qwz_GizjuTpkalDgxa7I6XEn7WNeXGFqGm0xrzLNaL6D-DqkU8DWVxmXZZ7-aJvzfSbzpjG1g-pdEeQz3XLd7dIZXYiunPiMUS16IazvgoBysJpWyPzEZZR3izcwP8vf5E3s=&p=7&fvj=1&vjs=3
Data Scientist -Bioinformatics,MaxisIT Inc,"New York, NY",,29 days ago,2020-11-21,"Two year experience of bioinformatics data analysis.
The successful candidate will contribute to drug discovery efforts through analysis of multiple disease…",https://www.indeed.com/company/MaxisIT-Inc/jobs/Data-Scientist-b8d515d70a617221?fccid=5ccd48e51a720e1a&vjs=3
Principal Machine Learning Data Engineer (Remote Eligible),Okta,New York State,,15 days ago,2020-11-21,"10+ years experience building enterprise grade highly reliable, mission-critical software or big data systems.
Test-driven development, design and code reviews.",https://www.indeed.com/rc/clk?jk=a918798ae9496304&fccid=4049a78a6232aa5c&vjs=3
Senior Data Analyst,ShopKeep,"New York, NY",,30+ days ago,2020-11-21,"Analyze data to understand key trends and drivers of performance.
Build and maintain new data models to answer questions and provide visibility for various…",https://www.indeed.com/rc/clk?jk=09a7efe442d49a66&fccid=11811b52a7138086&vjs=3
Data Analyst II,Buoy Health,"New York, NY",,30+ days ago,2020-11-21,"Motivated to tell stories through compelling data points and visualizations.
Have worked on complex data transformations and ETL tools like Apache Airflow.",https://www.indeed.com/rc/clk?jk=584a603435c5f65a&fccid=1810e5ba987b8f8b&vjs=3
Senior Data Analyst,Dashlane,"New York, NY",,24 days ago,2020-11-21,Our analysts span the full data cycle from data collection to business recommendations and use advanced technologies to process and report the data.,https://www.indeed.com/rc/clk?jk=fbff46102be989b0&fccid=b884767afe3fb8b6&vjs=3
Senior Statistician - Innovative Biopharma - USA,Warman O'Brien,United States,"$75,688 - $149,805 a year",30+ days ago,2020-11-21,"Concentrate on late phase submissions and covering all aspects of clinical analysis.
They are looking for a Lead Statistician to provide insights into Epilepsy…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bw-rRrlDr6nrfscfj_vVoPM6Iu_8zo-cqs0II8k4Z4L09_w1iGTUNqHrVHx9MkiUV_IsLFR8NlSuMDmZTh5NC5vvVSlgkgD0mggtDnE_DV9nnCvJn8LhbhJel5BhhNqNYNgH81uMwwUqZLmCgDjdRgvl9A_0V3Z6iagkTOuDFY-azselB4IjqxUHMnWYxKj0mLkcJTdug9KSU0Zs8QxzH1ERdTQS-SXQU0VHMu9W29K7ynv7OnIG0clD8Y4zXKR56Y1SuCLP73G6FJMDX7AynHMB4RX2_CtMjgD4nJq8nHz5arzsqQsvFo1b43Yy43hkeMihkCswwn2qJr1PmxBb7gvuyDyWqTz6qUkq_6py6zgI4DJq-pAq3u7RdKO9JjVRNngt-ocnapZfkrEBpfd5dQ6EpwIFXwm5zIkYPksDoig27zia7R03u0tKG3p9M6TlSUZbERbTlmp4YkmjX_-ANtdSBEDFIRfUkZkFWwqjqdjxHvt2a6UlQxeJMsYt1X4UI=&p=13&fvj=1&vjs=3
Senior Data Analyst - RevOps,Stack Overflow,New York State,,22 days ago,2020-11-21,"Routinely audit and provide data governance around key metrics, executive dashboards, reporting content, and user permissions to ensure data quality is…",https://www.indeed.com/rc/clk?jk=1d0f3f04ff4ce035&fccid=f4284460fdbef1b4&vjs=3
Director of Data Science,Employment Opportunities at BuzzFeed,New York State,,30+ days ago,2020-11-21,"Provide technical leadership and career mentorship to data scientists.
You have experience managing and mentoring a team of data scientists, and a strong point…",https://www.indeed.com/rc/clk?jk=97f8846fbe90cc27&fccid=b102625070cdb638&vjs=3
Staff Machine Learning Scientist,Compass,New York State,,30+ days ago,2020-11-21,"Using your machine learning skills to explore and deeply understand Compass's data.
Perform feature engineering and modelling tasks on top of this data to power…",https://www.indeed.com/rc/clk?jk=869d0c0a41cb6fd9&fccid=3944dc0afa53bf7b&vjs=3
Senior Marketing Data Analyst,Stack Overflow,New York State,,30+ days ago,2020-11-21,"Collaborate across internal teams and help them become more data savvy.
You are comfortable working with a variety of existing data sets.",https://www.indeed.com/rc/clk?jk=d102d534f68a2d77&fccid=f4284460fdbef1b4&vjs=3
"Statistician, Technical Manufacturing",Abbott Laboratories,"Syracuse, NY",,1 day ago,2020-11-21,"The position of Statistician will be a remote position.
Write program code to analyze data using statistical analysis software.",https://www.indeed.com/rc/clk?jk=6fd445ca466df145&fccid=7942658690eba67c&vjs=3
Senior Applied Scientist,Amazon.com Services LLC,"New York, NY",,17 days ago,2020-11-21,"Strong communication and data presentation skills.
We are looking for an expert in computer vision with a focus on data-driven image synthesis using deep…",https://www.indeed.com/rc/clk?jk=e554fb976abacb85&fccid=fe2d21eef233e94a&vjs=3
Big Data Engineer,Cognizant Technology Solutions,"New York, NY",,2 days ago,2020-11-21,"Design and develop data ingest and.
Analysis, Design, Development and Implementation of Big data and cloud.
The Practice that leads all initiatives.",https://www.indeed.com/rc/clk?jk=3c7a1abb5e37cf23&fccid=2df6a1e69a70a1e7&vjs=3
"Sr. Data Engineer (AWS, Python, Airflow & R), Data Science Products (open to remote)",Medidata Solutions,"New York, NY",,30+ days ago,2020-11-21,"3+ years professional experience as a cloud data engineer, data scientist or related role.
Advanced skills in modern data architecture, data science engineering…",https://www.indeed.com/rc/clk?jk=dc913cbf464a375c&fccid=3e34ac4ae73849ba&vjs=3
Machine Learning Engineer,Transatlantic Reinsurance Co.,"New York, NY","$130,000 - $190,000 a year",30+ days ago,2020-11-21,"Construct machine learning models including data collection, normalization, and standardization, data pipeline construction, model selection and hyperparameter…",https://www.indeed.com/company/Transatlantic-Reinsurance-Co./jobs/Machine-Learning-Engineer-582e71d6663dfbd3?fccid=bac4019806e46b9e&vjs=3
"Senior Data Scientist, Ad Intelligence",Sensor Tower,"New York, NY",,30+ days ago,2020-11-21,"A passion for data analysis and presentation of data insights.
You will leverage your mobile advertising and mobile industry knowledge to develop and implement…",https://www.indeed.com/rc/clk?jk=40f68333cc96282d&fccid=c659788ec6cc356e&vjs=3
Director Level - Technical Team Lead (R programming) for Data Science (open to remote workers),Medidata Solutions,"New York, NY",,30+ days ago,2020-11-21,Management experience of a team of data scientists and software engineers and ability to create vision and shape strategy for data sciences.,https://www.indeed.com/rc/clk?jk=aa5b3ee5dd425ec0&fccid=3e34ac4ae73849ba&vjs=3
Senior Data Scientist,MediaMath,"New York, NY",,30+ days ago,2020-11-21,"Experience in a ML or data scientist role with a large technology company, preferably in Advertising Technologies.
Experience with Golang a plus.",https://www.indeed.com/rc/clk?jk=a36a7bcdb554dd57&fccid=cf5f0af7879d1065&vjs=3
Data Engineer II,LivePerson,New York State,,30+ days ago,2020-11-21,"Experience building and optimizing 'big data' data pipelines, architectures and data sets.
The ideal candidate is an experienced data pipeline builder and data…",https://www.indeed.com/rc/clk?jk=48d061a4458eff0a&fccid=051e0bdf026c3e60&vjs=3
"Software Engineer, AI",Paige,New York State,,30+ days ago,2020-11-21,"Experience with design patterns, algorithms and data structures.
Until then, this position can be fully remote for candidates based in the U.S.",https://www.indeed.com/rc/clk?jk=03a59fcc2e4e16dc&fccid=8e499e964d7a61eb&vjs=3
"Senior Data Scientist, Data, Models & Decisions",LivePerson,New York State,,30+ days ago,2020-11-21,"Experience with Python packages for data science and machine learning, including pandas and scikit-learn.
We see model-driven processes and workflows as a means…",https://www.indeed.com/rc/clk?jk=47a16fa6afe993dc&fccid=051e0bdf026c3e60&vjs=3
Principal Software Engineer - Data Platform,Socure,New York State,,30+ days ago,2020-11-21,"You will democratize access to data and aim to automate operations of large amounts of data efficiently, securely and reliably.",https://www.indeed.com/rc/clk?jk=3f3d36e7f12879a4&fccid=1f46c8b913449a16&vjs=3
Data Scientist,Medarcus,United States,$25 - $45 an hour,26 days ago,2020-11-21,"Medarcus is hiring a Data Scientist to assist in solving specific problems with healthcare data such as duplicate records, quality assessments, advanced data…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0APoG0fButbj5Kcz8em-qdhcmiTWQZJzaY9hdlrXctHw0aFE_2mkrjykTfwPtwx1Pq1U2uGfQe-Ch6eyhQY71Rq77my_9j4hC7A54YQ9KenrtZIVgaLhSOb2439Jw7dt5eIVqJ9LXGvFakJZ66X8sTRPYH1bKqKvVBwf6Qbn4EiKwL2eTriqdDGdoPA5EBGlVq5Q6fOOySKQM4zJY7C59a6uvbFtHp4W7JMpYDJohQEvnFJC5Lp3TwvAajOt6zZ_4GsR9zTnPz6qwi9h0u4jaO5jOhOa2lLy1FcqcHH6DxhTvt-bowErUSTk7h_1vRMv7VWeqvjq-447Oe7UMWVZ5V5FJDMpZwd6PaCKZEMtyMf7TNpeB2JgUWSF1ySmrwIbQiHSWWmiG25qZNDgIXzU8ydZQNbgbNICzl5d11dbOHZyMPGYnb8mK82t8a6XLKoX8xFF0zn3S47AA==&p=0&fvj=1&vjs=3
"Sr. Statistical Programmer ( Perm, REMOTE)",ConnectLifeSciences,United States,"$114,000 - $124,000 a year",3 days ago,2020-11-21,"Performing data manipulation, analysis and reporting of clinical trial data, both safety and efficacy, utilizing SAS programming;",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AvfLQonCzA-ugCkyus2Ox_8_rcnH4f2j6r-E9SVvfVKLmxKJyQXn_WCtjyyMXZGqgOGwf4Csxoou2_aWwep980vdEV8rZaI5yIkkxeTf2AyAZL61K85hi6ghbDjxrFOJpDhhKos0j6WvouDha_c8PlFBFdAV3pvQRS2cpjB-vG4bIMkOjRkJ0e3Xb0jgOb5TJF-6HMx0MujGehpUyeX51uqlgEK33KvK88OOVcMysYQub3Vqfupef1Rq2p7coghRW7Tvdp3idHpDk-gPCqSO4MzjoQdKu7zTzNXk3uijaKEjp4fCF-kczks2_46i6esXJ4hvG4E_J6FBa2K0XMZAjY6U0Jwjim3oMEv2-LpWlpTb0FfFXQQpsE_pjeOzNjyKs4r1d8OZ7k_5sZhiVUWjC90gszmPhKDxx9sENCffvxXAY7C5ui89NdkcApt8oyG5U0ELegFbqVGQnavBk1af_bPpF5JvwozKg=&p=1&fvj=1&vjs=3
Senior Marketing Data Analyst,Stack Overflow,New York State,,30+ days ago,2020-11-21,"Collaborate across internal teams and help them become more data savvy.
You are comfortable working with a variety of existing data sets.",https://www.indeed.com/rc/clk?jk=d102d534f68a2d77&fccid=f4284460fdbef1b4&vjs=3
"Statistician, Technical Manufacturing",Abbott Laboratories,"Syracuse, NY",,1 day ago,2020-11-21,"The position of Statistician will be a remote position.
Write program code to analyze data using statistical analysis software.",https://www.indeed.com/rc/clk?jk=6fd445ca466df145&fccid=7942658690eba67c&vjs=3
Senior Applied Scientist,Amazon.com Services LLC,"New York, NY",,17 days ago,2020-11-21,"Strong communication and data presentation skills.
We are looking for an expert in computer vision with a focus on data-driven image synthesis using deep…",https://www.indeed.com/rc/clk?jk=e554fb976abacb85&fccid=fe2d21eef233e94a&vjs=3
Big Data Engineer,Cognizant Technology Solutions,"New York, NY",,2 days ago,2020-11-21,"Design and develop data ingest and.
Analysis, Design, Development and Implementation of Big data and cloud.
The Practice that leads all initiatives.",https://www.indeed.com/rc/clk?jk=3c7a1abb5e37cf23&fccid=2df6a1e69a70a1e7&vjs=3
"Sr. Data Engineer (AWS, Python, Airflow & R), Data Science Products (open to remote)",Medidata Solutions,"New York, NY",,30+ days ago,2020-11-21,"3+ years professional experience as a cloud data engineer, data scientist or related role.
Advanced skills in modern data architecture, data science engineering…",https://www.indeed.com/rc/clk?jk=dc913cbf464a375c&fccid=3e34ac4ae73849ba&vjs=3
Machine Learning Engineer,Transatlantic Reinsurance Co.,"New York, NY","$130,000 - $190,000 a year",30+ days ago,2020-11-21,"Construct machine learning models including data collection, normalization, and standardization, data pipeline construction, model selection and hyperparameter…",https://www.indeed.com/company/Transatlantic-Reinsurance-Co./jobs/Machine-Learning-Engineer-582e71d6663dfbd3?fccid=bac4019806e46b9e&vjs=3
"Senior Data Scientist, Ad Intelligence",Sensor Tower,"New York, NY",,30+ days ago,2020-11-21,"A passion for data analysis and presentation of data insights.
You will leverage your mobile advertising and mobile industry knowledge to develop and implement…",https://www.indeed.com/rc/clk?jk=40f68333cc96282d&fccid=c659788ec6cc356e&vjs=3
Director Level - Technical Team Lead (R programming) for Data Science (open to remote workers),Medidata Solutions,"New York, NY",,30+ days ago,2020-11-21,Management experience of a team of data scientists and software engineers and ability to create vision and shape strategy for data sciences.,https://www.indeed.com/rc/clk?jk=aa5b3ee5dd425ec0&fccid=3e34ac4ae73849ba&vjs=3
Senior Data Scientist,MediaMath,"New York, NY",,30+ days ago,2020-11-21,"Experience in a ML or data scientist role with a large technology company, preferably in Advertising Technologies.
Experience with Golang a plus.",https://www.indeed.com/rc/clk?jk=a36a7bcdb554dd57&fccid=cf5f0af7879d1065&vjs=3
Data Engineer II,LivePerson,New York State,,30+ days ago,2020-11-21,"Experience building and optimizing 'big data' data pipelines, architectures and data sets.
The ideal candidate is an experienced data pipeline builder and data…",https://www.indeed.com/rc/clk?jk=48d061a4458eff0a&fccid=051e0bdf026c3e60&vjs=3
Lead Data Scientist,Deep Labs,"New York, NY",,Today,2020-11-21,"Identify opportunities to enrich and integrate data from multiple, diverse sources.
Strong knowledge and experience of Python (preferred) or R, and associated…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dfw7I0ofaTn6fCJEZLEvKDdlXRvX8AkzymIxmh_t_URz8VYXeDyjEG_iOTiTvlehYobRmL-pEhsap3CYkTZMvgOx1pOuE_0blnaC8OOcidmDPV37Q0NifrEyovXFNn76g6geNvIg3IsA-IIOTRMhgqm0AdHqkjQpbldfc-QOcLvFo3X9tYqTpR6U4lGPNfx3Pso7OQJdKP_db_OfXdsQW8YpwwWFT17aQ-JM2NpJN2ZX4dP8it3ThqUxfUVTz5qprJB3Vo_V3EM8X-TqWjURhj1egQzIJq6Voq2V0m5I8wq1kmpzvh0klNg4tV548-9BzZKGNh1t0McGw2OwdjioWdhYVzE4AV39_VVMU_3qEwYScPBm4WnayGrzgNKRi5oA-3N1OAd_Hi06CtHE6Z7vVbxond3-_q66hENLhTZIRqw367bXv2ewOOp0DCzz-oHzZ4K80N9RF0KLhLiODrmk6LhbsiKexH2CrybnRv2bXBubM8xWzmxtFCONN3lN3I0HoLGJXAaaRLvHCeQZGerJumn_yiypx3ue0=&p=12&fvj=0&vjs=3
"Data Scientist, Private Equity (NYC or San Francisco)","CDG Management, LLC","New York, NY","$125,000 - $300,000 a year",3 days ago,2020-11-21,"Prior experience working directly with alternative data in quantitative research at a hedge fund, business consultancy, data vendor, or data aggregator/reseller…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DFbdJC5UfxJC04U3-a808T3uMVqCeqHhHILHTZBBi6LX8pPe1Z7kvroMhKZYKvkZ6WsKV9EJDB5qzTArbF2Ijwu9mfxJbwFoPcA50BRs-aC_9OOrrC_l7-yaltprPCD19u6ArHdXFfdtW67fakNeoMVsxtP4EYi3h5Lo3iP-k6AA9PW9x8c853a9i5glvzv_zSugNnyaRJFQOoTdef2agL5qRoxjBmt4BMa4C03fTheydr3MsKfk-bJtuOIR1wAkd2auAhZDmtjZP1BmoxaCTI2dS563sj2jA9Qi-BDWOByR-n9h7ypMepe8XUjmN-G2eBCWVXStUxBF6OW81FFIFQ0AWMX2Dn96hSi-6WD0TIbSd6bZF-eHnLgLWjdHsUpRtRAF1pkfa47v3iPo5aJxkEFwWBamwDSf6En0AsDTT53VVPveATTkVsbSE1XL_ld_pc5-OKk8KlIZXeB0k3mxED8VKA897V-n8UUJ7fRq359Bx8YSmRapXg&p=13&fvj=1&vjs=3
Senior Data Scientist (Remote-friendly),Noom Inc.,"New York, NY",,30+ days ago,2020-11-21,You’ll get three weeks’ paid vacation and a flexible work policy that is remote- and family-friendly (about 50% of our engineering team is fully remote).,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CTxeckkshV_qNgr-yNuagKfX03aAeBqs32sUcG_UJIPIjYU0UajryV_EusYlMIwVmryGJfMvNrflvuRyfQ_iXTShJMpvwto9vZFA3s1-B4DqYIzzoRBfZUsaU34hNtcIKPNbHASdbN28jnAwVO9yeZNxviapkp0lGLP_Ruc0MrSHO7c3c6_PrxkkcjdL61QbrA-qz3g73L2QW7vl33jLoFU8_WDVZYwnOHtX1_UH7M8dpwks9sbd6Mq89klq73kAv97sO8axSdN5CrCJp5dNzQb2akmggNGGJ8jXdbeO8MnkgNb_fjeydko5HyQ-JDf675kmJzbgHdUmGnC3Mrwg8kGBuiAOqlhZNTvUr38md6aQh8qVZ8uOMhQwMYy3mMD2rcGDtVmpOTE7ndeY8si1hpGvtGAajvpsMqC884ke5SrA==&p=14&fvj=1&vjs=3
